Breed,Trait,Trait_Score
Shih Tzu,Adaptability Level,5
Shih Tzu,Trainability Level,4
Shih Tzu,Energy Level,3
Shih Tzu,Barking Level,3
Shih Tzu,Mental Stimulation Needs,3
Boston Terriers,Affectionate With Family,5
Boston Terriers,Good With Young Children,5
Boston Terriers,Good With Other Dogs,4
Boston Terriers,Shedding Level,2
Boston Terriers,Coat Grooming Frequency,2
Boston Terriers,Drooling Level,1
Boston Terriers,Coat Type,Smooth
Boston Terriers,Coat Length,Short
Boston Terriers,Openness To Strangers,5
Boston Terriers,Playfulness Level,5
Boston Terriers,Watchdog/Protective Nature,3
Boston Terriers,Adaptability Level,3
Boston Terriers,Trainability Level,4
Boston Terriers,Energy Level,4
Boston Terriers,Barking Level,2
Boston Terriers,Mental Stimulation Needs,3
Bernese Mountain Dogs,Affectionate With Family,5
Bernese Mountain Dogs,Good With Young Children,5
Bernese Mountain Dogs,Good With Other Dogs,5
Bernese Mountain Dogs,Shedding Level,5
Bernese Mountain Dogs,Coat Grooming Frequency,3
Bernese Mountain Dogs,Drooling Level,3
Bernese Mountain Dogs,Coat Type,Double
Bernese Mountain Dogs,Coat Length,Medium
Bernese Mountain Dogs,Openness To Strangers,4
Bernese Mountain Dogs,Playfulness Level,4
Bernese Mountain Dogs,Watchdog/Protective Nature,3
Bernese Mountain Dogs,Adaptability Level,4
Bernese Mountain Dogs,Trainability Level,4
Bernese Mountain Dogs,Energy Level,4
Bernese Mountain Dogs,Barking Level,3
Bernese Mountain Dogs,Mental Stimulation Needs,3
Pomeranians,Affectionate With Family,5
Pomeranians,Good With Young Children,3
Pomeranians,Good With Other Dogs,3
Pomeranians,Shedding Level,2
Pomeranians,Coat Grooming Frequency,3
Pomeranians,Drooling Level,1
Pomeranians,Coat Type,Double
Pomeranians,Coat Length,Long
Pomeranians,Openness To Strangers,3
Pomeranians,Playfulness Level,3
Pomeranians,Watchdog/Protective Nature,4
Pomeranians,Adaptability Level,4
Pomeranians,Trainability Level,3
Pomeranians,Energy Level,3
Pomeranians,Barking Level,4
Pomeranians,Mental Stimulation Needs,3
Havanese,Affectionate With Family,5
Havanese,Good With Young Children,5
Havanese,Good With Other Dogs,5
Havanese,Shedding Level,2
Havanese,Coat Grooming Frequency,3
Havanese,Drooling Level,1
Havanese,Coat Type,Double
Havanese,Coat Length,Long
Havanese,Openness To Strangers,5
Havanese,Playfulness Level,5
Havanese,Watchdog/Protective Nature,3
Havanese,Adaptability Level,5
Havanese,Trainability Level,4
Havanese,Energy Level,3
Havanese,Barking Level,4
Havanese,Mental Stimulation Needs,3
Cane Corso,Affectionate With Family,4
Cane Corso,Good With Young Children,3
Cane Corso,Good With Other Dogs,3
Cane Corso,Shedding Level,2
Cane Corso,Coat Grooming Frequency,1
Cane Corso,Drooling Level,3
Cane Corso,Coat Type,Smooth
Cane Corso,Coat Length,Short
Cane Corso,Openness To Strangers,3
Cane Corso,Playfulness Level,3
Cane Corso,Watchdog/Protective Nature,5
Cane Corso,Adaptability Level,3
Cane Corso,Trainability Level,4
Cane Corso,Energy Level,4
Cane Corso,Barking Level,3
Cane Corso,Mental Stimulation Needs,3
Spaniels (English Springer),Affectionate With Family,5
Spaniels (English Springer),Good With Young Children,3
Spaniels (English Springer),Good With Other Dogs,4
Spaniels (English Springer),Shedding Level,3
Spaniels (English Springer),Coat Grooming Frequency,2
Spaniels (English Springer),Drooling Level,3
Spaniels (English Springer),Coat Type,Double
Spaniels (English Springer),Coat Length,Medium
Spaniels (English Springer),Openness To Strangers,4
Spaniels (English Springer),Playfulness Level,4
Spaniels (English Springer),Watchdog/Protective Nature,3
Spaniels (English Springer),Adaptability Level,4
Spaniels (English Springer),Trainability Level,5
Spaniels (English Springer),Energy Level,4
Spaniels (English Springer),Barking Level,3
Spaniels (English Springer),Mental Stimulation Needs,4
Shetland Sheepdogs,Affectionate With Family,5
Shetland Sheepdogs,Good With Young Children,5
Shetland Sheepdogs,Good With Other Dogs,5
Shetland Sheepdogs,Shedding Level,3
Shetland Sheepdogs,Coat Grooming Frequency,3
Shetland Sheepdogs,Drooling Level,1
Shetland Sheepdogs,Coat Type,Double
Shetland Sheepdogs,Coat Length,Long
Shetland Sheepdogs,Openness To Strangers,2
Shetland Sheepdogs,Playfulness Level,5
Shetland Sheepdogs,Watchdog/Protective Nature,5
Shetland Sheepdogs,Adaptability Level,5
Shetland Sheepdogs,Trainability Level,5
Shetland Sheepdogs,Energy Level,4
Shetland Sheepdogs,Barking Level,5
Shetland Sheepdogs,Mental Stimulation Needs,4
Brittanys,Affectionate With Family,3
Brittanys,Good With Young Children,4
Brittanys,Good With Other Dogs,4
Brittanys,Shedding Level,3
Brittanys,Coat Grooming Frequency,3
Brittanys,Drooling Level,1
Brittanys,Coat Type,Double
Brittanys,Coat Length,Short
Brittanys,Openness To Strangers,3
Brittanys,Playfulness Level,4
Brittanys,Watchdog/Protective Nature,3
Brittanys,Adaptability Level,3
Brittanys,Trainability Level,5
Brittanys,Energy Level,5
Brittanys,Barking Level,3
Brittanys,Mental Stimulation Needs,4
Pugs,Affectionate With Family,5
Pugs,Good With Young Children,5
Pugs,Good With Other Dogs,4
Pugs,Shedding Level,4
Pugs,Coat Grooming Frequency,2
Pugs,Drooling Level,1
Pugs,Coat Type,Smooth
Pugs,Coat Length,Short
Pugs,Openness To Strangers,5
Pugs,Playfulness Level,5
Pugs,Watchdog/Protective Nature,3
Pugs,Adaptability Level,5
Pugs,Trainability Level,4
Pugs,Energy Level,3
Pugs,Barking Level,1
Pugs,Mental Stimulation Needs,3
Spaniels (Cocker),Affectionate With Family,4
Spaniels (Cocker),Good With Young Children,5
Spaniels (Cocker),Good With Other Dogs,5
Spaniels (Cocker),Shedding Level,3
Spaniels (Cocker),Coat Grooming Frequency,4
Spaniels (Cocker),Drooling Level,2
Spaniels (Cocker),Coat Type,Double
Spaniels (Cocker),Coat Length,Long
Spaniels (Cocker),Openness To Strangers,4
Spaniels (Cocker),Playfulness Level,3
Spaniels (Cocker),Watchdog/Protective Nature,3
Spaniels (Cocker),Adaptability Level,4
Spaniels (Cocker),Trainability Level,4
Spaniels (Cocker),Energy Level,4
Spaniels (Cocker),Barking Level,3
Spaniels (Cocker),Mental Stimulation Needs,3
Miniature American Shepherds,Affectionate With Family,5
Miniature American Shepherds,Good With Young Children,5
Miniature American Shepherds,Good With Other Dogs,5
Miniature American Shepherds,Shedding Level,3
Miniature American Shepherds,Coat Grooming Frequency,3
Miniature American Shepherds,Drooling Level,2
Miniature American Shepherds,Coat Type,Double
Miniature American Shepherds,Coat Length,Medium
Miniature American Shepherds,Openness To Strangers,3
Miniature American Shepherds,Playfulness Level,4
Miniature American Shepherds,Watchdog/Protective Nature,3
Miniature American Shepherds,Adaptability Level,4
Miniature American Shepherds,Trainability Level,5
Miniature American Shepherds,Energy Level,5
Miniature American Shepherds,Barking Level,3
Miniature American Shepherds,Mental Stimulation Needs,5
Border Collies,Affectionate With Family,5
Border Collies,Good With Young Children,3
Border Collies,Good With Other Dogs,3
Border Collies,Shedding Level,3
Border Collies,Coat Grooming Frequency,3
Border Collies,Drooling Level,1
Border Collies,Coat Type,Double
Border Collies,Coat Length,Medium
Border Collies,Openness To Strangers,4
Border Collies,Playfulness Level,5
Border Collies,Watchdog/Protective Nature,3
Border Collies,Adaptability Level,5
Border Collies,Trainability Level,5
Border Collies,Energy Level,5
Border Collies,Barking Level,4
Border Collies,Mental Stimulation Needs,5
Mastiffs,Affectionate With Family,5
Mastiffs,Good With Young Children,5
Mastiffs,Good With Other Dogs,3
Mastiffs,Shedding Level,3
Mastiffs,Coat Grooming Frequency,1
Mastiffs,Drooling Level,4
Mastiffs,Coat Type,Double
Mastiffs,Coat Length,Short
Mastiffs,Openness To Strangers,3
Mastiffs,Playfulness Level,3
Mastiffs,Watchdog/Protective Nature,5
Mastiffs,Adaptability Level,4
Mastiffs,Trainability Level,3
Mastiffs,Energy Level,3
Mastiffs,Barking Level,1
Mastiffs,Mental Stimulation Needs,3
Chihuahuas,Affectionate With Family,4
Chihuahuas,Good With Young Children,1
Chihuahuas,Good With Other Dogs,3
Chihuahuas,Shedding Level,2
Chihuahuas,Coat Grooming Frequency,1
Chihuahuas,Drooling Level,1
Chihuahuas,Coat Type,Smooth
Chihuahuas,Coat Length,Short
Chihuahuas,Openness To Strangers,2
Chihuahuas,Playfulness Level,4
Chihuahuas,Watchdog/Protective Nature,4
Chihuahuas,Adaptability Level,4
Chihuahuas,Trainability Level,3
Chihuahuas,Energy Level,4
Chihuahuas,Barking Level,5
Chihuahuas,Mental Stimulation Needs,3
Vizslas,Affectionate With Family,5
Vizslas,Good With Young Children,5
Vizslas,Good With Other Dogs,4
Vizslas,Shedding Level,3
Vizslas,Coat Grooming Frequency,2
Vizslas,Drooling Level,2
Vizslas,Coat Type,Smooth
Vizslas,Coat Length,Short
Vizslas,Openness To Strangers,4
Vizslas,Playfulness Level,5
Vizslas,Watchdog/Protective Nature,3
Vizslas,Adaptability Level,5
Vizslas,Trainability Level,5
Vizslas,Energy Level,5
Vizslas,Barking Level,3
Vizslas,Mental Stimulation Needs,5
Basset Hounds,Affectionate With Family,3
Basset Hounds,Good With Young Children,5
Basset Hounds,Good With Other Dogs,5
Basset Hounds,Shedding Level,2
Basset Hounds,Coat Grooming Frequency,3
Basset Hounds,Drooling Level,4
Basset Hounds,Coat Type,Smooth
Basset Hounds,Coat Length,Short
Basset Hounds,Openness To Strangers,3
Basset Hounds,Playfulness Level,3
Basset Hounds,Watchdog/Protective Nature,3
Basset Hounds,Adaptability Level,3
Basset Hounds,Trainability Level,3
Basset Hounds,Energy Level,2
Basset Hounds,Barking Level,4
Basset Hounds,Mental Stimulation Needs,3
Belgian Malinois,Affectionate With Family,3
Belgian Malinois,Good With Young Children,3
Belgian Malinois,Good With Other Dogs,3
Belgian Malinois,Shedding Level,3
Belgian Malinois,Coat Grooming Frequency,2
Belgian Malinois,Drooling Level,1
Belgian Malinois,Coat Type,Smooth
Belgian Malinois,Coat Length,Short
Belgian Malinois,Openness To Strangers,3
Belgian Malinois,Playfulness Level,3
Belgian Malinois,Watchdog/Protective Nature,4
Belgian Malinois,Adaptability Level,3
Belgian Malinois,Trainability Level,5
Belgian Malinois,Energy Level,4
Belgian Malinois,Barking Level,3
Belgian Malinois,Mental Stimulation Needs,4
Maltese,Affectionate With Family,5
Maltese,Good With Young Children,3
Maltese,Good With Other Dogs,3
Maltese,Shedding Level,1
Maltese,Coat Grooming Frequency,4
Maltese,Drooling Level,1
Maltese,Coat Type,Silky
Maltese,Coat Length,Long
Maltese,Openness To Strangers,3
Maltese,Playfulness Level,3
Maltese,Watchdog/Protective Nature,4
Maltese,Adaptability Level,4
Maltese,Trainability Level,3
Maltese,Energy Level,3
Maltese,Barking Level,3
Maltese,Mental Stimulation Needs,3
Weimaraners,Affectionate With Family,5
Weimaraners,Good With Young Children,5
Weimaraners,Good With Other Dogs,3
Weimaraners,Shedding Level,3
Weimaraners,Coat Grooming Frequency,2
Weimaraners,Drooling Level,2
Weimaraners,Coat Type,Smooth
Weimaraners,Coat Length,Short
Weimaraners,Openness To Strangers,3
Weimaraners,Playfulness Level,5
Weimaraners,Watchdog/Protective Nature,5
Weimaraners,Adaptability Level,4
Weimaraners,Trainability Level,5
Weimaraners,Energy Level,5
Weimaraners,Barking Level,3
Weimaraners,Mental Stimulation Needs,5
Collies,Affectionate With Family,4
Collies,Good With Young Children,5
Collies,Good With Other Dogs,3
Collies,Shedding Level,3
Collies,Coat Grooming Frequency,3
Collies,Drooling Level,2
Collies,Coat Type,Smooth
Collies,Coat Length,Short
Collies,Openness To Strangers,3
Collies,Playfulness Level,4
Collies,Watchdog/Protective Nature,3
Collies,Adaptability Level,4
Collies,Trainability Level,4
Collies,Energy Level,3
Collies,Barking Level,5
Collies,Mental Stimulation Needs,3
Newfoundlands,Affectionate With Family,5
Newfoundlands,Good With Young Children,5
Newfoundlands,Good With Other Dogs,5
Newfoundlands,Shedding Level,3
Newfoundlands,Coat Grooming Frequency,2
Newfoundlands,Drooling Level,5
Newfoundlands,Coat Type,Double
Newfoundlands,Coat Length,Medium
Newfoundlands,Openness To Strangers,5
Newfoundlands,Playfulness Level,3
Newfoundlands,Watchdog/Protective Nature,5
Newfoundlands,Adaptability Level,4
Newfoundlands,Trainability Level,3
Newfoundlands,Energy Level,3
Newfoundlands,Barking Level,1
Newfoundlands,Mental Stimulation Needs,3
Rhodesian Ridgebacks,Affectionate With Family,5
Rhodesian Ridgebacks,Good With Young Children,5
Rhodesian Ridgebacks,Good With Other Dogs,3
Rhodesian Ridgebacks,Shedding Level,3
Rhodesian Ridgebacks,Coat Grooming Frequency,2
Rhodesian Ridgebacks,Drooling Level,2
Rhodesian Ridgebacks,Coat Type,Smooth
Rhodesian Ridgebacks,Coat Length,Short
Rhodesian Ridgebacks,Openness To Strangers,3
Rhodesian Ridgebacks,Playfulness Level,3
Rhodesian Ridgebacks,Watchdog/Protective Nature,5
Rhodesian Ridgebacks,Adaptability Level,4
Rhodesian Ridgebacks,Trainability Level,4
Rhodesian Ridgebacks,Energy Level,3
Rhodesian Ridgebacks,Barking Level,2
Rhodesian Ridgebacks,Mental Stimulation Needs,4
Shiba Inu,Affectionate With Family,5
Shiba Inu,Good With Young Children,3
Shiba Inu,Good With Other Dogs,3
Shiba Inu,Shedding Level,3
Shiba Inu,Coat Grooming Frequency,2
Shiba Inu,Drooling Level,1
Shiba Inu,Coat Type,Double
Shiba Inu,Coat Length,Short
Shiba Inu,Openness To Strangers,3
Shiba Inu,Playfulness Level,3
Shiba Inu,Watchdog/Protective Nature,5
Shiba Inu,Adaptability Level,3
Shiba Inu,Trainability Level,2
Shiba Inu,Energy Level,3
Shiba Inu,Barking Level,3
Shiba Inu,Mental Stimulation Needs,4
West Highland White Terriers,Affectionate With Family,5
West Highland White Terriers,Good With Young Children,5
West Highland White Terriers,Good With Other Dogs,3
West Highland White Terriers,Shedding Level,3
West Highland White Terriers,Coat Grooming Frequency,3
West Highland White Terriers,Drooling Level,1
West Highland White Terriers,Coat Type,Double
West Highland White Terriers,Coat Length,Medium
West Highland White Terriers,Openness To Strangers,4
West Highland White Terriers,Playfulness Level,5
West Highland White Terriers,Watchdog/Protective Nature,5
West Highland White Terriers,Adaptability Level,4
West Highland White Terriers,Trainability Level,3
West Highland White Terriers,Energy Level,4
West Highland White Terriers,Barking Level,5
West Highland White Terriers,Mental Stimulation Needs,4
Bichons Frises,Affectionate With Family,5
Bichons Frises,Good With Young Children,5
Bichons Frises,Good With Other Dogs,5
Bichons Frises,Shedding Level,1
Bichons Frises,Coat Grooming Frequency,5
Bichons Frises,Drooling Level,1
Bichons Frises,Coat Type,Double
Bichons Frises,Coat Length,Long
Bichons Frises,Openness To Strangers,5
Bichons Frises,Playfulness Level,4
Bichons Frises,Watchdog/Protective Nature,2
Bichons Frises,Adaptability Level,4
Bichons Frises,Trainability Level,4
Bichons Frises,Energy Level,4
Bichons Frises,Barking Level,3
Bichons Frises,Mental Stimulation Needs,3
Bloodhounds,Affectionate With Family,4
Bloodhounds,Good With Young Children,3
Bloodhounds,Good With Other Dogs,3
Bloodhounds,Shedding Level,3
Bloodhounds,Coat Grooming Frequency,2
Bloodhounds,Drooling Level,5
Bloodhounds,Coat Type,Smooth
Bloodhounds,Coat Length,Short
Bloodhounds,Openness To Strangers,3
